parameter_no,no1,no2,no3,no4,no5,no6,no7,no8,no9,no10,no11,no12,no13,no14,no15,no16,no17,no18,no19,no20
294,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
295,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
296,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
297,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
298,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
299,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
300,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
301,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
302,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
303,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
304,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
305,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
306,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
307,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
308,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
309,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
310,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
311,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
312,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
313,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
314,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
315,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
317,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
318,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
319,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
321,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
322,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
323,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
324,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
325,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
326,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
327,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
328,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
329,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
330,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
331,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
332,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
